,R,T,m,s,mutations,survival_mean,survival_var,absorption,fixation,generations,organism_count,l,correlation_length,correlation_time,seed,dfit,N,k,b,files,creature
1,13.0,10.0,0.11844181673423135,0.015,2.0,10000.0,0.0,0.00035087719298245617,1.0,12.0,2.0,64.0,10.0,1000.0,404.0,0.0,10000.0,1.0,1.0,two_depletion_nutrient_B_s404l64L10T1000N10000_c2_parameters.csv,c2
1,13.0,10.429988451169123,0.15,0.02190437556486968,6.0,9006.9,8876228.489999998,0.00035087719298245617,1.0,18.0,2.0,64.0,10.0,500.0,242.0,0.0,1000.0,1.0,1.0,two_depletion_nutrient_B_s242l64L10T500N1000_c2_parameters.csv,c2
1,13.0,10.663217063264478,0.11535385863919637,0.014864975487550287,5.0,10000.0,0.0,0.00035087719298245617,1.0,24.0,2.0,64.0,30.0,500.0,37.0,0.0,10.0,1.0,1.0,two_depletion_nutrient_B_s37l64L30T500N10_c1_parameters.csv,c1
1,13.0,9.840179765383867,0.1312528332592919,0.019383789768572055,6.0,10000.0,0.0,0.00035087719298245617,1.0,37.0,2.0,64.0,15.0,1000.0,533.0,0.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s533l64L15T1000N100000_c2_parameters.csv,c2
1,39.30380614081027,12.917486939754877,0.03408184566426902,0.03773294044371655,266.0,10000.0,0.0,0.00035087719298245617,32.0,891.0,2.0,64.0,15.0,10000.0,219.0,-16.561166666665486,100.0,1.0,1.0,two_depletion_nutrient_B_s219l64L15T10000N100_c2_parameters.csv,c2
1,12.916191705875004,10.629285817947752,0.12998853102197966,0.01689834121555046,6.0,10000.0,0.0,0.00035087719298245617,1.0,27.0,2.0,64.0,15.0,500.0,250.0,0.0,1000.0,1.0,1.0,two_depletion_nutrient_B_s250l64L15T500N1000_c1_parameters.csv,c1
1,30.11998585534743,7.432621321374064,0.018346311800688637,0.0213852895383696,223.0,10000.0,0.0,0.00035087719298245617,1.0,886.0,2.0,64.0,20.0,10000.0,580.0,0.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s580l64L20T10000N100000_c2_parameters.csv,c2
1,13.564531219610172,11.923980687293783,0.12812540282643534,0.016792215372743113,4.0,9006.3,8886957.209999999,0.00035087719298245617,6.0,27.0,2.0,64.0,15.0,500.0,138.0,0.0,100.0,1.0,1.0,two_depletion_nutrient_B_s138l64L15T500N100_c2_parameters.csv,c2
1,13.0,10.099200018542616,0.13357583478245966,0.01998252123255663,6.0,10000.0,0.0,0.00035087719298245617,1.0,40.0,2.0,64.0,20.0,1000.0,544.0,0.0,100000.0,1.0,1.0,two_depletion_nutrient_B_s544l64L20T1000N100000_c1_parameters.csv,c1
1,10.750852406416552,8.845822787133613,0.017080477042318937,0.01475236092684039,501.0,10000.0,0.0,0.00035087719298245617,0.0,936.0,2.0,64.0,10.0,10000.0,448.0,9.094947017729282e-13,10000.0,1.0,1.0,two_depletion_nutrient_B_s448l64L10T10000N10000_c2_parameters.csv,c2
