"","X","R","T","m","s","mutations","survival_mean","survival_var","absorption","fixation","generations","organism_count","l","correlation_length","correlation_time","seed","dfit","N","k","b","files","seed2","mean_mass","var_mass","mean_volume","var_volume","mean_density","var_density","mean_centroid_x","var_centroid_x","mean_centroid_y","var_centroid_y","mean_nutrient","var_nutrient","snap_centroid_x","snap_var_x","snap_centroid_y","snap_var_y","snap_mass","snap_volume","final_nutrient","snap_density","qualitative"
"11",10,14.5067761773809,8.80447994735503,0.12161770321271,0.016669886068873,11,9007.5,8865506.25,8.93e-05,7,65,1,64,15,100,10,0,10,1,1,"naive_nutrient_B_s10l64L15T100N10_parameters.csv",10,820.112329173938,10516.7943853385,923.3949,18183.656519642,0.891218236981856,0.003075563741076,30.7963733147331,280176.130736572,29.8969012289645,277046.911425544,0.12161770321271,1.73e-33,30.8591713110086,297440.479460238,29.8858515117264,295601.56705496,871.304840749177,1045,0.12161770321271,0.833784536602083,"rings"
"12",11,14.7525216993331,10.8515609335379,0.103371727253119,0.014855944777024,7,10000,0,8.93e-05,8,45,1,64,15,100,11,0,10,1,1,"naive_nutrient_B_s11l64L15T100N10_parameters.csv",11,772.170667257983,23330.8951080361,899.9969,41645.0219925893,0.863820207092137,0.003608167303654,31.7187870317339,270057.358579573,31.0646048310016,260562.22957598,0.103371727253119,1.73e-33,31.6963549661009,350995.455113607,30.8751864150577,353480.44923592,1021.44334038163,1204,0.103371727253119,0.848374867426601,"rings"
"13",12,15.0600909992958,7.72194045132856,0.119321409293091,0.01832415091115,18,10000,0,8.93e-05,0,88,1,64,15,100,12,0,10,1,1,"naive_nutrient_B_s12l64L15T100N10_parameters.csv",12,807.363677165086,12840.029798611,898.9068,21518.6861823782,0.901584778374934,0.002855487918222,31.1369601440696,275118.161478983,33.2408462477157,269717.736169025,0.119321409293091,3.08e-33,31.4620312876675,252795.384159501,33.3912364197503,243696.546207199,738.082823420271,794,0.119321409293091,0.929575344358024,"rings"
"14",13,15.970870536434,9.7200266730662,0.085102501346421,0.012781569254449,12,10000,0,8.93e-05,7,84,1,64,15,100,13,0,10,1,1,"naive_nutrient_B_s13l64L15T100N10_parameters.csv",13,754.107867306557,35775.8988002071,884.5479,58322.0805136414,0.858886017803331,0.003619178733574,32.5368188696532,257701.200364517,30.9157728201133,251812.653614054,0.08510250134642,7.7e-34,32.4114532513324,250769.09869878,30.5022647379726,245573.321918813,739.703331744139,806,0.085102501346421,0.917746069161463,"rings"
"15",14,13,9.88873374809895,0.119365673224001,0.015,3,9009.3,8833378.41,8.93e-05,3,23,1,64,15,100,14,0,10,1,1,"naive_nutrient_B_s14l64L15T100N10_parameters.csv",14,782.165210514419,10260.066106473,909.3713,18472.3232686369,0.862911895023389,0.003179927897173,31.3491058417433,264867.891560392,29.8497718916586,264309.535636702,0.119365673224001,1.73e-33,31.4937962031123,268792.044806669,29.7298961714257,273993.860453531,798.239100938044,961,0.119365673224001,0.830633819914718,"ringchains"
"16",15,13,10,0.111749300132197,0.015,2,8021.4,15659432.04,8.93e-05,5,9,1,64,15,100,15,0,10,1,1,"naive_nutrient_B_s15l64L15T100N10_parameters.csv",15,775.982611024519,39187.1319059433,903.5645,63257.6490046505,0.862950176719302,0.003597540066044,30.8835847252386,264330.304746432,32.2717458206957,260962.385196331,0.111749300132197,1.93e-34,30.5139832130735,360628.143327852,32.898055462219,363188.815472285,1060.97152647809,1268,0.111749300132197,0.836728333184616,"rings"
"17",16,11.2406846542758,9.52066577550375,0.123964295361665,0.017807138663286,7,9006.3,8886957.21,8.93e-05,5,36,1,64,15,100,16,0,10,1,1,"naive_nutrient_B_s16l64L15T100N10_parameters.csv",16,58.6291398421035,426.655252481999,174.641025641026,3816.64868464869,0.327477742178262,0.004403941532902,15.7631040505658,1271.04799107038,18.7652378314006,1067.81990215406,0.123964295361665,1.95e-34,0,0,0,0,0,0,0.123964295361665,NA,"ringchains"
"18",17,13,12.1492117109102,0.106631486838995,0.015,4,10000,0,8.93e-05,3,43,1,64,15,100,17,0,10,1,1,"naive_nutrient_B_s17l64L15T100N10_parameters.csv",17,762.248951826252,28950.1617538792,902.2512,50364.7277713371,0.850928865779641,0.004284082211748,31.4105136618264,260514.06122811,31.7250953310077,265722.300117286,0.106631486838995,1.73e-33,31.5215458650958,268972.855659745,32.9528243142748,276083.017765455,782.211585660657,1046,0.106631486838995,0.74781222338495,"mazechains"
"19",18,9.81800949459719,9.14731619996519,0.106213400429759,0.017529389988272,6,10000,0,8.93e-05,7,41,1,64,15,100,18,0,10,1,1,"naive_nutrient_B_s18l64L15T100N10_parameters.csv",18,740.714401427964,24556.1410444554,855.2194,40686.5481184518,0.870448964296444,0.003275037249307,31.336795763378,251985.897783766,32.3836237529318,252757.023129069,0.106213400429759,0,31.2523726473467,240022.781904519,32.5737316566123,240508.601824982,706.800502859559,799,0.106213400429759,0.884606386557646,"rings"
"20",19,14.5899659539791,10.496218443386,0.10821369939731,0.015888053554029,10,10000,0,8.93e-05,0,29,1,64,15,100,19,0,10,1,1,"naive_nutrient_B_s19l64L15T100N10_parameters.csv",19,789.138313477999,19551.4976075569,916.2522,35536.7010652665,0.866547889131406,0.003547946848349,30.9029405083848,274144.424014839,31.2465191963009,263823.459835515,0.10821369939731,7.7e-34,31.1490693463955,295040.636238001,31.0518333348628,284089.979901927,847.995562537369,945,0.10821369939731,0.897349801626845,"mazechains"
"21",20,10.2693376762835,10.8137411612707,0.109150657495291,0.015,10,10000,0,8.93e-05,3,86,1,64,20,100,20,0,10,1,1,"naive_nutrient_B_s20l64L20T100N10_parameters.csv",20,629.336135516923,4030.00505160788,702.3956,7280.58875951595,0.897125191426784,0.004350835127745,31.503521763859,213194.128536003,31.0604541843759,214971.246532164,0.109150657495291,1.73e-33,31.6560251061487,209531.324868589,31.1507090634413,209128.665195758,613.045406830893,661,0.109150657495291,0.927451447550519,"rings"
"22",21,14.5649646432773,10,0.112556701969563,0.015,8,10000,0,8.93e-05,3,32,1,64,20,100,21,0,10,1,1,"naive_nutrient_B_s21l64L20T100N10_parameters.csv",21,697.194414035015,3882.5690133262,767.3469,8731.29028941894,0.912008912228594,0.003631747867707,30.8836649227265,239722.509376376,30.4040447149381,241083.726789939,0.112556701969563,7.7e-34,30.8003402743521,238810.086010728,30.2650080050848,237024.2953693,685.452173625968,707,0.112556701969563,0.969522169202218,"rings"
"23",22,13.0624044622665,10.6612953657681,0.115747788655156,0.014863845238078,8,10000,0,8.93e-05,4,79,1,64,20,100,22,0,10,1,1,"naive_nutrient_B_s22l64L20T100N10_parameters.csv",22,689.577680405903,4081.14322346579,776.4032,8811.20395015502,0.891187645257523,0.003583579424378,31.6770665768805,237319.618541215,30.6887251569547,236269.771182942,0.115747788655156,1.73e-33,31.7370216364671,256865.578392036,30.7065925847527,259778.798880688,753.932512061773,893,0.115747788655156,0.844269330416319,"rings"
"24",23,11.2699031110592,10,0.120624180011172,0.017376117347648,4,10000,0,8.93e-05,4,19,1,64,20,100,23,0,10,1,1,"naive_nutrient_B_s23l64L20T100N10_parameters.csv",23,706.350827253435,3977.63666095357,790.0389,7934.27481427143,0.89630083216476,0.003812950481516,30.9528478801994,241773.776358004,31.6937637990335,242680.671709503,0.120624180011172,1.93e-34,30.9166913991516,241770.153581953,31.8386062256994,243525.743913426,707.960834115457,794,0.120624180011172,0.891638330120223,"rings"
"25",24,15.4867607561429,14.3069936674274,0.126014393901919,0.021588043670983,21,10000,0,8.93e-05,3,172,1,64,20,100,24,0,10,1,1,"naive_nutrient_B_s24l64L20T100N10_parameters.csv",24,728.604900810003,4068.89090342881,796.8579,11279.3344410341,0.919644880463826,0.005051046802575,31.9747250643739,250434.389489707,32.4409110943506,248091.202662627,0.126014393901919,3.08e-33,31.8601220612516,249275.717642302,32.2235955799536,245963.021881853,718.541166075933,741,0.126014393901919,0.969691182288709,"rings"
"26",25,12.4389579614381,9.89135872996861,0.113992268284411,0.015469377203275,7,10000,0,8.93e-05,9,51,1,64,20,100,25,0,10,1,1,"naive_nutrient_B_s25l64L20T100N10_parameters.csv",25,696.96155139835,4341.97740622948,769.9537,7517.06386269627,0.906752789647598,0.003866805298987,31.0069484224558,235587.173378021,31.0617423342533,236408.227317327,0.113992268284411,1.93e-34,30.8672313287884,248151.967724037,30.9507953297733,246550.72772081,733.961802716966,851,0.113992268284411,0.862469803427692,"rings"
"27",26,16.2476048045226,9.46918550270052,0.130354405725051,0.019867348287653,10,10000,0,8.93e-05,3,58,1,64,20,100,26,0,10,1,1,"naive_nutrient_B_s26l64L20T100N10_parameters.csv",26,738.847562934651,3270.43374116697,810.1008,8945.4569850585,0.916207903066321,0.00358930094671,31.6772753791212,245921.561375844,30.3606965552685,253728.477910658,0.13035440572505,7.7e-34,31.9194361579612,238701.783847788,30.2463459573936,247317.917030764,721.961000277959,763,0.130354405725051,0.946213630770589,"rings"
"28",27,13,15.6709794998067,0.118910183848207,0.016530304814864,7,10000,0,8.93e-05,0,51,1,64,20,100,27,0,10,1,1,"naive_nutrient_B_s27l64L20T100N10_parameters.csv",27,682.899450114475,3448.2340570053,776.6634,8691.32723316332,0.883419832149685,0.005012473418773,31.4983483291261,242368.513043738,31.824096465991,230265.201849615,0.118910183848206,1.73e-33,30.9096213748065,310452.289143352,32.1203151679105,299574.463282902,884.747762569796,1008,0.118910183848207,0.877725954930353,"rings"
"29",28,7.76181753786637,10,0.111234014914568,0.015,6,10000,0,8.93e-05,0,40,1,64,20,100,28,0,10,1,1,"naive_nutrient_B_s28l64L20T100N10_parameters.csv",28,645.057662062429,4397.00760738487,804.2701,5779.56570256026,0.799991361521981,0.002774325697467,30.7783842396653,219389.159775193,31.6472970417586,222693.42543689,0.111234014914568,1.73e-33,30.8067238002141,217258.870335019,31.9285106128695,222248.627189971,638.170187746485,789,0.111234014914568,0.808834205001882,"rings"
