,qualitative,N,T,L,count
448,radial,1000,1000,15,0
449,radial,1000,10000,15,0
450,radial,1000,100,20,0
451,radial,1000,1000,20,0
452,radial,1000,10000,20,0
453,radial,1000,100,30,0
454,radial,1000,1000,30,0
455,radial,1000,10000,30,0
456,radial,10000,100,10,0
457,radial,10000,1000,10,2
458,radial,10000,10000,10,0
459,radial,10000,100,15,0
460,radial,10000,1000,15,2
461,radial,10000,10000,15,1
462,radial,10000,100,20,1
463,radial,10000,1000,20,2
464,radial,10000,10000,20,1
465,radial,10000,100,30,0
466,radial,10000,1000,30,0
467,radial,10000,10000,30,2
468,radial,100000,100,10,0
469,radial,100000,1000,10,1
470,radial,100000,10000,10,1
471,radial,100000,100,15,2
472,radial,100000,1000,15,2
473,radial,100000,10000,15,1
474,radial,100000,100,20,0
475,radial,100000,1000,20,0
476,radial,100000,10000,20,1
477,radial,100000,100,30,0
478,radial,100000,1000,30,0
479,radial,100000,10000,30,0
480,slow_sensing,10,100,10,0
481,slow_sensing,10,1000,10,0
482,slow_sensing,10,10000,10,0
483,slow_sensing,10,100,15,0
484,slow_sensing,10,1000,15,0
485,slow_sensing,10,10000,15,0
486,slow_sensing,10,100,20,0
487,slow_sensing,10,1000,20,0
488,slow_sensing,10,10000,20,0
489,slow_sensing,10,100,30,0
490,slow_sensing,10,1000,30,0
491,slow_sensing,10,10000,30,0
492,slow_sensing,100,100,10,0
493,slow_sensing,100,1000,10,0
494,slow_sensing,100,10000,10,1
495,slow_sensing,100,100,15,0
496,slow_sensing,100,1000,15,0
497,slow_sensing,100,10000,15,0
498,slow_sensing,100,100,20,0
499,slow_sensing,100,1000,20,0
500,slow_sensing,100,10000,20,0
501,slow_sensing,100,100,30,0
502,slow_sensing,100,1000,30,0
503,slow_sensing,100,10000,30,0
504,slow_sensing,1000,100,10,0
505,slow_sensing,1000,1000,10,2
506,slow_sensing,1000,10000,10,0
507,slow_sensing,1000,100,15,0
508,slow_sensing,1000,1000,15,0
509,slow_sensing,1000,10000,15,0
510,slow_sensing,1000,100,20,0
511,slow_sensing,1000,1000,20,0
512,slow_sensing,1000,10000,20,0
513,slow_sensing,1000,100,30,0
514,slow_sensing,1000,1000,30,0
515,slow_sensing,1000,10000,30,0
516,slow_sensing,10000,100,10,0
517,slow_sensing,10000,1000,10,2
518,slow_sensing,10000,10000,10,3
519,slow_sensing,10000,100,15,0
520,slow_sensing,10000,1000,15,1
521,slow_sensing,10000,10000,15,3
522,slow_sensing,10000,100,20,0
523,slow_sensing,10000,1000,20,0
524,slow_sensing,10000,10000,20,2
525,slow_sensing,10000,100,30,0
526,slow_sensing,10000,1000,30,0
527,slow_sensing,10000,10000,30,0
528,slow_sensing,100000,100,10,1
529,slow_sensing,100000,1000,10,0
530,slow_sensing,100000,10000,10,2
531,slow_sensing,100000,100,15,0
532,slow_sensing,100000,1000,15,0
533,slow_sensing,100000,10000,15,0
534,slow_sensing,100000,100,20,0
535,slow_sensing,100000,1000,20,0
536,slow_sensing,100000,10000,20,0
537,slow_sensing,100000,100,30,0
538,slow_sensing,100000,1000,30,0
539,slow_sensing,100000,10000,30,0
540,slow_dissolve,10,100,10,0
541,slow_dissolve,10,1000,10,0
542,slow_dissolve,10,10000,10,0
543,slow_dissolve,10,100,15,0
544,slow_dissolve,10,1000,15,0
545,slow_dissolve,10,10000,15,0
546,slow_dissolve,10,100,20,0
547,slow_dissolve,10,1000,20,0
548,slow_dissolve,10,10000,20,0
549,slow_dissolve,10,100,30,0
550,slow_dissolve,10,1000,30,0
551,slow_dissolve,10,10000,30,0
552,slow_dissolve,100,100,10,0
553,slow_dissolve,100,1000,10,0
554,slow_dissolve,100,10000,10,0
555,slow_dissolve,100,100,15,0
556,slow_dissolve,100,1000,15,0
557,slow_dissolve,100,10000,15,0
558,slow_dissolve,100,100,20,0
559,slow_dissolve,100,1000,20,0
560,slow_dissolve,100,10000,20,0
561,slow_dissolve,100,100,30,0
562,slow_dissolve,100,1000,30,0
563,slow_dissolve,100,10000,30,0
564,slow_dissolve,1000,100,10,0
565,slow_dissolve,1000,1000,10,2
566,slow_dissolve,1000,10000,10,6
567,slow_dissolve,1000,100,15,0
568,slow_dissolve,1000,1000,15,1
569,slow_dissolve,1000,10000,15,0
570,slow_dissolve,1000,100,20,0
571,slow_dissolve,1000,1000,20,0
572,slow_dissolve,1000,10000,20,0
573,slow_dissolve,1000,100,30,0
574,slow_dissolve,1000,1000,30,0
575,slow_dissolve,1000,10000,30,0
576,slow_dissolve,10000,100,10,3
577,slow_dissolve,10000,1000,10,2
578,slow_dissolve,10000,10000,10,2
579,slow_dissolve,10000,100,15,4
