,R,T,m,s,mutations,survival_mean,survival_var,absorption,fixation,generations,organism_count,l,correlation_length,correlation_time,seed,dfit,N,k,b,files,creature,seed2,creature2,mean_mass,var_mass,mean_volume,var_volume,mean_density,var_density,mean_centroid_x,var_centroid_x,mean_centroid_y,var_centroid_y,mean_nutrient,var_nutrient,snap_centroid_x,snap_var_x,snap_centroid_y,snap_var_y,snap_mass,snap_volume,final_nutrient,snap_density
1,12.061236047395385,17.437726091147017,0.13045519276073986,0.02645495256255969,20.0,1051.5,8897494.05,8.928571428571429e-05,0.0,68.0,2.0,64.0,10.0,100.0,5.0,10.0,10.0,1.0,1.0,two_nutrient_B_s5l64L10T100N10_c1_parameters.csv,c1,5.0,c1,0.38187215763333787,33.84538464477821,1.3321,413.8291925092508,0.28496316571635893,0.0009457159163265585,45.28074129485258,34321.51110520979,48.5044736465371,20554.736008327556,-48.58118206364335,833.3138098961982,,,,,0.0,0.0,-98.57514731962166,
1,13.591745594629057,9.366883236383735,0.1366523219605869,0.027850048740544132,18.0,8002.1,15966417.690000001,8.928571428571429e-05,0.0,68.0,2.0,64.0,10.0,100.0,5.0,10.0,10.0,1.0,1.0,two_nutrient_B_s5l64L10T100N10_c2_parameters.csv,c2,5.0,c2,789.3986649536645,868.4500160313102,811.4675,2783.235067256726,0.9744785547265079,0.002049575917256396,31.061666127708158,267982.52837051084,31.54140795622631,270766.8349675804,0.9999867401654595,1.8387177052710819e-07,31.03164219349069,267055.24517285154,31.724834485623784,270539.2203392135,789.4293939248182,823.0,1.0,0.9592094701395119
1,13.599951376753072,9.64658389381509,0.10458661042757347,0.01591376391441277,20.0,4049.5,23605692.85,8.928571428571429e-05,0.0,89.0,2.0,64.0,10.0,100.0,6.0,10.0,10.0,1.0,1.0,two_nutrient_B_s6l64L10T100N10_c1_parameters.csv,c1,6.0,c1,0.5905478858535349,60.54561655216646,1.9807,732.0937368836883,0.3089934141043064,0.007748765731320762,30.187486184751464,5273.5546384667605,35.70800728367188,2597.750784551645,-48.40327924795612,833.2239879413734,,,,,0.0,0.0,-98.3963365089038,
1,13.062837767164444,5.139614054609818,0.1333922400332191,0.019316556196365076,31.0,7011.2,20844081.759999998,8.928571428571429e-05,0.0,89.0,2.0,64.0,10.0,100.0,6.0,10.0,10.0,1.0,1.0,two_nutrient_B_s6l64L10T100N10_c2_parameters.csv,c2,6.0,c2,748.011461466051,1395.4904723421541,786.4265,2334.9950972597258,0.9519022959325437,0.0023200808143732576,31.63151256896379,259386.29119601086,31.733446977796405,252086.2162943582,0.9999461515191596,1.568063905532924e-06,31.68689578799973,260912.7382928472,31.930889086166506,253949.0206803272,746.7928154609963,782.0,1.0,0.9549780248861846
1,10.673282992669014,9.505259551689678,0.15,0.015,2.0,52.1,506.09,8.928571428571429e-05,0.0,51.0,2.0,64.0,10.0,100.0,7.0,10.0,10.0,1.0,1.0,two_nutrient_B_s7l64L10T100N10_c1_parameters.csv,c1,7.0,c1,0.12697924622984974,6.181505218491578,0.3363,42.59886219621964,0.3420001234685902,0.012813808940567288,21.4951031858729,28500.666727018008,23.09469080540249,379.6480284615796,-48.90903283709912,833.4049773084253,,,,,0.0,0.0,-98.90391567076792,
1,11.241503490826686,12.348764384905996,0.10299690751576698,0.014757611577998634,8.0,10000.0,0.0,8.928571428571429e-05,0.0,51.0,2.0,64.0,10.0,100.0,7.0,10.0,10.0,1.0,1.0,two_nutrient_B_s7l64L10T100N10_c2_parameters.csv,c2,7.0,c2,589.7789184753645,1516.8926676277595,639.5907,2666.9082643364336,0.9229814387611354,0.0033940381989566717,32.07520375497255,198980.11306544495,30.72670156836797,202621.13923561721,0.9996793356856027,3.324354313186138e-05,32.06604674900681,200023.16790277688,30.684000659206504,203934.08254921623,593.5614563845616,633.0,1.0,0.9376958236722931
1,16.036429453598856,12.475899302598986,0.11210267148784692,0.017766486010826955,18.0,9001.3,8976615.209999999,8.928571428571429e-05,8.0,52.0,2.0,64.0,10.0,100.0,8.0,10.0,10.0,1.0,1.0,two_nutrient_B_s8l64L10T100N10_c1_parameters.csv,c1,8.0,c1,607.0396243215555,1455.8124798858562,639.0016,3411.5785552955294,0.9523749403317455,0.004286755309791289,31.813678000108958,207922.96957923952,31.202785016429093,212463.5122609094,0.9999989349759706,3.5255964916608126e-09,32.00927661308197,207752.7808718464,31.30143060545445,213300.55747175796,610.849284748634,641.0,1.0,0.9529630027279781
1,11.48637024447608,10.896913739196128,0.13268703757671216,0.015,4.0,52.8,501.36,8.928571428571429e-05,8.0,52.0,2.0,64.0,10.0,100.0,8.0,10.0,10.0,1.0,1.0,two_nutrient_B_s8l64L10T100N10_c2_parameters.csv,c2,8.0,c2,0.09555979291481155,5.129652789043117,0.2915,44.844012151215104,0.281482675330774,0.011409446820294988,26.044354544820013,668.848700611087,32.67215749706426,465.3025609329829,-48.85743446043829,833.4037825866588,,,,,0.0,0.0,-98.852305351752,
1,14.969421935488631,10.25943181471007,0.17785731809720534,0.028067923834075182,19.0,57.0,579.4,8.928571428571429e-05,0.0,78.0,2.0,64.0,10.0,100.0,9.0,10.0,10.0,1.0,1.0,two_nutrient_B_s9l64L10T100N10_c1_parameters.csv,c1,9.0,c1,0.03782033663388433,2.089741536115122,0.1397,25.908174727472737,0.22439280966749808,0.007249374296237975,30.16751655882771,435.3809910762562,21.533407844924515,25084.47669491333,-48.95157550869115,833.4148873073785,,,,,0.0,0.0,-98.94655770171964,
1,13.627917729706141,9.832826334290175,0.11853620015397322,0.02149533506662965,23.0,9001.0,8982009.0,8.928571428571429e-05,0.0,78.0,2.0,64.0,10.0,100.0,9.0,10.0,10.0,1.0,1.0,two_nutrient_B_s9l64L10T100N10_c2_parameters.csv,c2,9.0,c2,692.4601209118593,898.5781856466529,712.4063,2430.267247034703,0.9735701002322592,0.0023692834030807643,31.787653478016093,234857.29747778978,30.95945337526069,234848.47118573103,0.9999633523953065,9.090590141821003e-07,31.858753641849784,236264.136997759,30.85663514658418,234590.9552769201,696.683258944589,721.0,1.0,0.9662735907691943
